Rating,Publication Cost,ISBN,Book Title,Year,Genres,Link,Total Revenue,Book URL
4.03,20937.0,0739326228,Memoirs of a Geisha,1997,"fiction, historical-fiction, romance, cultural, japan, classics, book-club, adult, contemporary, adult-fiction, novels",dir01/930.Memoirs_of_a_Geisha.html,1042679.0,https://www.goodreads.com/author/show/614.Arthur_Golden
3.72,34959.0,0307277674,"The Da Vinci Code (Robert Langdon, #2)",2003,"mystery, thriller, suspense, historical-fiction, adventure, thriller, mystery-thriller, novels, adult, mystery, crime, adult-fiction",dir01/968.The_Da_Vinci_Code.html,1220657.0,https://www.goodreads.com/author/show/630.Dan_Brown
4.36,69524.0,0375831002,The Book Thief,2005,"historical-fiction, young-adult, fiction, book-club, world-war-ii, holocaust, war, history, world-war-ii, classics, young-adult, teen, fantasy",dir01/19063.The_Book_Thief.html,675431.0,https://www.goodreads.com/author/show/11466.Markus_Zusak
4.05,5516.0,0451527747,Alice's Adventures in Wonderland & Through the Looking-Glass,1865,"classics, childrens, young-adult, literature, adventure, novels, european-literature, british-literature, literature, 19th-century, classics, classic-literature, childrens, juvenile",dir01/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass.html,301702.0,https://www.goodreads.com/author/show/8164.Lewis_Carroll
3.72,10156.0,0743477111,Romeo and Juliet,1597,"classics, plays, fiction, romance, academic, school, drama, literature, academic, read-for-school, young-adult, high-school",dir01/18135.Romeo_and_Juliet.html,1211146.0,https://www.goodreads.com/author/show/947.William_Shakespeare
4.09,10082.0,0451525264,Les Mis̩rables,1862,"classics, historical-fiction, literature, cultural, france, novels, romance, european-literature, french-literature, classics, classic-literature, literature, 19th-century, drama",dir01/24280.Les_Mis_rables.html,418004.0,https://www.goodreads.com/author/show/13661.Victor_Hugo
3.92,38061.0,Unknown,The Time Traveler's Wife,2003,"fiction, romance, fantasy, science-fiction, time-travel, science-fiction, book-club, contemporary, womens-fiction, chick-lit, adult, adult-fiction",dir01/18619684-the-time-traveler-s-wife.html,927254.0,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger
4.58,1314.0,0345538374,J.R.R. Tolkien 4-Book Boxed Set,1973,"fantasy, classics, science-fiction-fantasy, adventure, fantasy, epic-fantasy, literature, young-adult, epic, fantasy, high-fantasy, novels",dir01/30.J_R_R_Tolkien_4_Book_Boxed_Set.html,68495.0,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien
3.6,18039.0,0140283331,Lord of the Flies,1954,"classics, academic, school, literature, science-fiction, dystopia, academic, read-for-school, novels, young-adult, adventure, young-adult, high-school, horror",dir01/7624.Lord_of_the_Flies.html,1232126.0,https://www.goodreads.com/author/show/306.William_Golding
4.28,30815.0,0812550706,"Ender's Game (The Ender Quintet, #1)",1985,"science-fiction, young-adult, fantasy, classics, science-fiction, dystopia, book-club, science-fiction-fantasy, war, adventure, novels",dir01/375802.Ender_s_Game.html,624730.0,https://www.goodreads.com/author/show/589.Orson_Scott_Card
4.02,11942.0,0375751513,The Picture of Dorian Gray,1890,"classics, fiction, horror, literature, fantasy, gothic, novels, literature, 19th-century, book-club, european-literature, british-literature",dir01/5297.The_Picture_of_Dorian_Gray.html,409478.0,https://www.goodreads.com/author/show/3565.Oscar_Wilde
4.14,8681.0,0143058142,Crime and Punishment,1866,"classics, cultural, russia, literature, literature, russian-literature, mystery, crime, philosophy, academic, school, literature, 19th-century, novels, classics, classic-literature",dir01/7144.Crime_and_Punishment.html,294297.0,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky
4.11,8897.0,0064410935,Charlotte's Web,1952,"childrens, fiction, classics, young-adult, animals, childrens, juvenile, fantasy, academic, school, childrens, middle-grade, childrens, chapter-books",dir01/24178.Charlotte_s_Web.html,662707.0,https://www.goodreads.com/author/show/988142.E_B_White
4.2,8678.0,0451528824,"Anne of Green Gables (Anne of Green Gables, #1)",1908,"fiction, young-adult, classics, childrens, historical-fiction, cultural, canada, literature, childrens, juvenile, romance, young-adult, coming-of-age",dir01/8127.Anne_of_Green_Gables.html,393594.0,https://www.goodreads.com/author/show/5350.L_M_Montgomery
3.75,36955.0,0061122416,The Alchemist,1988,"fiction, classics, fantasy, philosophy, book-club, novels, spirituality, literature, inspirational, adventure",dir01/865.The_Alchemist.html,876518.0,https://www.goodreads.com/author/show/566.Paulo_Coelho
3.94,18581.0,0007491565,Fahrenheit 451,1953,"classics, fiction, science-fiction, science-fiction, dystopia, literature, academic, school, fantasy, science-fiction-fantasy",dir01/17470674-fahrenheit-451.html,783133.0,https://www.goodreads.com/author/show/1630.Ray_Bradbury
4.43,112279.0,0525478817,The Fault in Our Stars,2012,"young-adult, book-club, drama",dir01/11870085-the-fault-in-our-stars.html,1150626.0,https://www.goodreads.com/author/show/1406384.John_Green
